Title,Price,Rating,Image URL,Result Type,Product URL
"Lenovo IdeaPad Slim 3 13th Gen Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Top Metal Cover/Backlit Keyboard/1Yr ADP/Grey/1.6Kg), 83K100S3IN",₹65500,2.3 out of 5 stars,https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,Ad,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDA5NzEyODg4MTU4OTIxOjE3ODA5MDgxNDE6c3BfbXRmOjMwMDk2MTU0OTkxNjEzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K100S3IN%2Fdp%2FB0GDQFZBQC%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1780908141%26sr%3D8-11-spons%26aref%3D3BmXYKHCxf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=3BmXYKHCxf&sp_cr=ZAZ
"Lenovo Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop",₹79990,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,Ad,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDA5NzEyODg4MTU4OTIxOjE3ODA5MDgxNDE6c3BfbXRmOjMwMDk2MTU0OTkxNjgzMjo6MDo6&url=%2FLenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1780908141%26sr%3D8-12-spons%26aref%3D1d0KZd47QZ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=1d0KZd47QZ&sp_cr=ZAZ
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",₹59990,4.2 out of 5 stars,https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,Organic,https://www.amazon.in/ASUS-Vivobook-i5-13420H-Keyboard-X1502VA-BQ836WS/dp/B0DTYKLHYC/ref=sr_1_13?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-13
"MSI Thin A15, AMD 7th Gen. Ryzen 7 7735HS, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050, GDDR6 4GB/Cosmos Gray/1.8Kg) B7UC-103IN",₹65990,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71kuEUDZ-1L._AC_UY218_.jpg,Organic,https://www.amazon.in/MSI-7735HS-Windows-GeForce-B7UC-103IN/dp/B097PM1MBH/ref=sr_1_14?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-14
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",₹49999,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Organic,https://www.amazon.in/Lenovo-MSOffice-82R400BRIN-Integrated-Graphics/dp/B09MM58Y7Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-15
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",₹49990,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,Organic,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0569TU/dp/B0F4R5W1NC/ref=sr_1_16?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-16
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 Inch (39.6cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office Home 2024/3months Game Pass/Arctic Grey/1.62Kg), 83ER00MCIN",₹64450,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61kNhhiAxSL._AC_UY218_.jpg,Organic,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83ER00MCIN/dp/B0FJF95B56/ref=sr_1_17?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-17
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, M365* Office24, Blue, 2.29kg, fb3134AX/3120ax, Gaming Laptop",₹78990,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71o5eHSQiKL._AC_UY218_.jpg,Organic,https://www.amazon.in/HP-Smartchoice-Upgradeable-Office24-fb3134AX/dp/B0FDKPXD95/ref=sr_1_18?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-18
"ASUS Vivobook Go 15 (2025), AMD Ryzen 5 7520U Thin & Light Laptop(16GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Backlit KB/Mixed Black/1.63Kg) E1504FA-BQ2414WS",₹50990,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61EDWCjLk8L._AC_UY218_.jpg,Organic,https://www.amazon.in/ASUS-Vivobook-Windows-Backlit-E1504FA-BQ2414WS/dp/B0FRND8VVY/ref=sr_1_19?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-19
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",₹20990,2.7 out of 5 stars,https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,Organic,https://www.amazon.in/Neopticon-BrowseBook-Student-Celeron-Windows/dp/B0FC64RYH1/ref=sr_1_20?dib=eyJ2IjoiMSJ9.kw5DGyC8VdqFtiPAcH4nJUwsL8RZp_HP_5L_p915PoSn0AAl2Pc1WcSME3hwCDVy6b41mzJM5QLpJ-9JYErCUlcFDuXAKlQQRzOwzP39f92Ak0Ve6g1dQrak4NtAE-mEZxSReGKD9kf6MuOtOkggOvd7-YXz49tJySU8jgeC6Ami2DhJQprLE3ClLUAglycxJ8D2iAvU2cAo9KUvQGL_gxyJFm3VLc109VUkua2F6Hw.BG9ARPVCp8mQk5BrPU2pvJ5PreU6nAgZQVyxAItNwjE&dib_tag=se&keywords=laptops&qid=1780908141&sr=8-20
